Id,Label,timeset,degree
10526,FIRESTAR/ANGELICA JO,,607
10527,THUNDERBALL/DR. ELIO,,207
10528,NAMORITA/NITA PRENTI,,588
10529,SPEEDBALL/ROBBIE BAL,,499
10530,HULK/DR. ROBERT BRUC,,1048
10531,NIGHT THRASHER/DUANE,,379
10532,SPIDER-MAN/PETER PAR,,1730
10533,JUSTICE II/VANCE AST,,483
10534,TIGRA/GREER NELSON,,510
10535,WASP/JANET VAN DYNE,,1517
10536,GALACTUS/GALAN,,394
10537,MOCKINGBIRD/DR. BARB,,508
10538,SILVER SURFER/NORRIN,,663
10539,HAWK,,1165
10540,LORD CHAOS,,131
10541,SCARLET WITCH/WANDA,,1883
10542,QUICKSILVER/PIETRO M,,868
10543,",""WASP/JANET VAN DYNE",,40
10544,",""GALACTUS/GALAN",,29
10545,",""MOCKINGBIRD/DR. BARB",,33
10546,",""SILVER SURFER/NORRIN",,32
10547,",""HAWK",,44
10548,",""LORD CHAOS",,13
10549,",""SCARLET WITCH/WANDA",,47
10550,UATU,,518
10551,CAPTAIN AMERICA,,1896
10552,THUNDERSTRIKE/ERIC K,,529
10553,WONDER MAN/SIMON WIL,,1022
10554,DEATHLOK III/MICHAEL,,182
10555,OBLIVION,,72
10556,WOLVERINE/LOGAN,,1984
10557,SHE-HULK/JENNIFER WA,,1064
10558,VISION,,1765
10559,PSYLOCKE/ELISABETH B,,688
10560,MARVEL GIRL/JEAN GRE,,998
10561,STORM/ORORO MUNROE S,,1062
10562,ETERNITY/ADAM QADMON,,309
10563,KISMET/J'RIDIA STARD,,185
10564,IN-BETWEENER,,89
10565,MR. FANTASTIC/REED R,,1368
10566,ANGEL/WARREN KENNETH,,1064
10567,DEATH,,274
10568,MASTER ORDER,,118
10569,JUBILEE/JUBILATION L,,444
10570,THING/BENJAMIN J. GR,,1404
10571,INVISIBLE WOMAN/SUE,,1750
10572,INFINITY II,,116
10573,PUNISHER II/FRANK CA,,477
10574,ANDROMEDA/ANDROMEDA,,155
10575,BEAST/HENRY &HANK& P,,1259
10576,GHOST RIDER III/DAN,,391
10577,CYCLOPS/SCOTT SUMMER,,1070
10578,",""CAPTAIN AMERICA",,63
10579,",""THUNDERSTRIKE/ERIC K",,28
10580,",""NOVA/RICHARD RIDER",,36
10581,",""WONDER MAN/SIMON WIL",,46
10582,",""DEATHLOK III/MICHAEL",,14
10583,",""OBLIVION",,8
10584,",""WOLVERINE/LOGAN",,51
10585,",""SHE-HULK/JENNIFER WA",,46
10586,",""VISION",,47
10587,",""PSYLOCKE/ELISABETH B",,31
10588,",""MARVEL GIRL/JEAN GRE",,39
10589,",""STORM/ORORO MUNROE S",,42
10590,",""ETERNITY/ADAM QADMON",,25
10591,",""KISMET/J'RIDIA STARD",,23
10592,",""NIGHT THRASHER/DUANE",,16
10593,",""IN-BETWEENER",,7
10594,",""MR. FANTASTIC/REED R",,50
10595,",""ANGEL/WARREN KENNETH",,46
10596,",""DEATH",,19
10597,",""MASTER ORDER",,11
10598,",""IRON MAN/TONY STARK",,48
10599,",""BLACK PANTHER/T'CHAL",,33
10600,",""JUBILEE/JUBILATION L",,23
10601,",""THING/BENJAMIN J. GR",,55
10602,",""INVISIBLE WOMAN/SUE",,46
10603,",""INFINITY II",,11
10604,",""PUNISHER II/FRANK CA",,22
10605,",""HULK/DR. ROBERT BRUC",,51
10606,",""ANDROMEDA/ANDROMEDA",,10
10607,",""BEAST/HENRY &HANK& P",,47
10608,LIVING LASER/ARTHUR,,86
10609,",""IRON MAN IV/JAMES R.",,24
10610,",""CABE, BETHANY",,9
10611,"CABE, BETHANY",,104
10612,SPYMASTER/JAKE JORDA,,42
10613,"HOGAN, VIRGINIA PEPP",,255
10614,"HOGAN, HAROLD J. HAP",,214
10615,",""HOGAN, VIRGINIA PEPP",,16
10616,BATROC/GEORGES BATRO,,168
10617,"CARTER, SHARON",,254
10618,",""STEELE, SIMON/WOLFGA",,1
10619,KARNILLA [ASGARDIAN],,183
10620,HEIMDALL [ASGARDIAN],,254
10621,ENCHANTRESS/AMORA/HE,,316
10622,LOKI [ASGARDIAN],,420
10623,NIGHTMARE/EDVARD HAB,,139
10624,ZANIAC/BRAD WOLFE,,10
10625,THOR/DR. DONALD BLAK,,1281
10626,SONIC,,26
10627,CHAIN,,25
10628,SPIDER-WOMAN II/JULI,,410
10629,"CARPENTER, RACHEL",,93
10630,GRASP,,26
10631,"CLEMSON, MIKE",,36
10632,"COOPER, DR. VALERIE",,533
10633,"CARPENTER, LARRY",,48
10634,",""CHAIN",,1
10635,",""SPIDER-WOMAN II/JULI",,22
10636,",""CARPENTER, RACHEL",,9
10637,RED GUARDIAN III/DR.,,158
10638,DR. STRANGE/STEPHEN,,1489
10639,DOLLAR BILL,,57
10640,HELLCAT/PATSY WALKER,,362
10641,NIGHTHAWK II/KYLE RI,,248
10642,DEVIL-SLAYER/ERIC SI,,154
10643,"NORRISS, SISTER BARB",,380
10644,"BANNER, BETTY ROSS T",,340
10645,"ROSS, GEN. THADDEUS",,432
10646,COBALT MAN,,27
10647,MASTERMIND/JASON WYN,,138
10648,"ROBERTS, TED",,29
10649,"ARMBRUSTER, COLONEL",,33
10650,",""ROSS, GEN. THADDEUS",,24
10651,",""COBALT MAN",,5
10652,",""MASTERMIND/JASON WYN",,13
10653,",""ROBERTS, TED",,4
10654,GORGON [INHUMAN],,438
10655,LOCKJAW [INHUMAN],,388
10656,CRYSTAL [INHUMAN],,697
10657,BLACK BOLT/BLACKANTO,,444
10658,TRITON,,419
10659,KARNAK [INHUMAN],,438
10660,",""WARLOCK II/ADAM WARL",,24
10661,",""ANALYZER",,5
10662,",""MAN-BEAST",,4
10663,",""BANNER, BETTY ROSS T",,24
10664,WARLOCK II/ADAM WARL,,294
10665,ANALYZER,,123
10666,MAN-BEAST,,97
10667,ABOMINATION/EMIL BLO,,180
10668,RHINO,,308
10669,"WILSON, JIM",,71
10670,",""RHINO",,14
10671,",""ARMBRUSTER, COLONEL",,3
10672,",""JUGGERNAUT/CAIN MARK",,18
10673,",""PROFESSOR X/CHARLES",,45
10674,",""WILSON, JIM",,4
10675,",""CYCLOPS/SCOTT SUMMER",,46
10676,",""CORBEAU, DR. PETER",,18
10677,"CORBEAU, DR. PETER",,198
10678,JUGGERNAUT/CAIN MARK,,275
10679,PROFESSOR X/CHARLES,,1471
10680,"BRICKFORD, CLAY",,29
10681,MISSING LINK,,22
10682,",""BRICKFORD, CLAY",,2
10683,"STACY, PAUL",,67
10684,VENOM/EDDIE BROCK,,157
10685,"PARKER, MAY",,479
10686,"STACY, ARTHUR",,95
10687,"STACY, JILL",,152
10688,BLADE,,57
10689,"ROBERTSON, JOE",,638
10690,"FORTUNATO, GIACOMO J",,61
10691,MORBIUS/DR. MICHAEL,,155
10692,"LEEDS, BETTY BRANT",,405
10693,KINGPIN/WILSON FISK,,437
10694,",""ROBERTSON, JOE",,28
10695,",""FORTUNATO, GIACOMO J",,3
10696,"GARTH, DONNA",,14
10697,ZOMBIE/SIMON GARTH,,12
10698,"WATSON-PARKER, MARY",,1116
10699,"WATSON, ANNA",,274
10700,"SPAULDING, PETER",,36
10701,MACHINE MAN/X-51,,254
10702,JOCASTA,,210
10703,"GARVIN, GEARS",,45
10704,ULTRON,,178
10705,"CALDRONE, JAVIER",,35
10706,"JAMESON, J. JONAH",,914
10707,DOLMAN,,24
10708,"URICH, BEN",,399
10709,"KWAN, TERRY",,34
10710,OVERRIDE/DR. GREGORY,,62
10711,ICEMAN/ROBERT BOBBY,,1354
10712,"THOMPSON, EUGENE FLA",,344
10713,"THORSON, DR. WALTER",,29
10714,"MAXWELL, MORRIS",,33
10715,"LUMLEY, JUDY",,13
10716,",""JAMESON, J. JONAH",,34
10717,",""DOLMAN",,2
10718,",""URICH, BEN",,16
10719,",""KWAN, TERRY",,7
10720,",""OVERRIDE/DR. GREGORY",,4
10721,",""ICEMAN/ROBERT BOBBY",,37
10722,"GRANT, GLORIA GLORY",,260
10723,"FAIRMONT, HANNAH",,86
10724,"MCCORMICK, BARRY",,7
10725,TOKKOTS,,31
10726,STAR THIEF II,,8
10727,GARGOYLE II/ISAAC CH,,262
10728,KUBIK,,35
10729,CLOUD,,43
10730,MANSLAUGHTER,,26
10731,",""NORRISS, SISTER BARB",,32
10732,",""STAR THIEF II",,1
10733,",""GARGOYLE II/ISAAC CH",,20
10734,",""KUBIK",,3
10735,",""CLOUD",,4
10736,"SOUTHERN, CANDY",,163
10737,INTERLOPER,,25
10738,MOONDRAGON/HEATHER D,,567
10739,",""SOUTHERN, CANDY",,12
10740,",""MANSLAUGHTER",,3
10741,",""INTERLOPER",,3
10742,",""MOONDRAGON/HEATHER D",,31
10743,",""DRAGON OF THE MOON",,3
10744,",""HUMAN TORCH/JOHNNY S",,49
10745,",""BEYONDER",,21
10746,DRAGON OF THE MOON,,11
10747,HUMAN TORCH/JOHNNY S,,1349
10748,BEYONDER,,227
10749,DR. OCTOPUS/OTTO OCT,,228
10750,"WARD, SEN. STEWART",,40
10751,BULLSEYE II/BENJAMIN,,92
10752,MISTER HYDE/CALVIN Z,,200
10753,COACHWHIP,,71
10754,COBRA/KLAUS VORHEES,,230
10755,ASP II/CLEO,,148
10756,BUSHMASTER II/QUINCY,,86
10757,FER DE LANCE/TERESA,,68
10758,BLACK MAMBA/TANYA SE,,166
10759,BLACK RACER/,,67
10760,ROCK PYTHON,,76
10761,ANACONDA/BLANCHE SIT,,161
10762,PUFF ADDER,,76
10763,BOOMSLANG/,,77
10764,RATTLER,,101
10765,COPPERHEAD III/DAVIS,,62
10766,"MOREAU, DAVID",,50
10767,"RANSOME, JENNIFER AM",,116
10768,"MOREAU, PHILLIP",,104
10769,HAVOK/ALEX SUMMERS,,1098
10770,WIPEOUT,,47
10771,DAZZLER II/ALLISON B,,376
10772,LONGSHOT,,222
10773,"SUMMERS, MADELYNE MA",,244
10774,COLOSSUS II/PETER RA,,1015
10775,",""ROGUE /",,37
10776,",""RANSOME, JENNIFER AM",,8
10777,",""MOREAU, PHILLIP",,8
10778,",""MALICE IV",,5
10779,",""COLOSSUS II/PETER RA",,38
10780,",""HAVOK/ALEX SUMMERS",,43
10781,",""SUMMERS, MADELYNE MA",,18
10782,",""SUMMERS, NATHAN CHRI",,28
10783,",""POLARIS/LORNA DANE",,28
10784,",""MR. SINISTER/NATHAN",,10
10785,",""DAZZLER II/ALLISON B",,18
10786,",""N'ASTIRH",,8
10787,",""LONGSHOT",,9
10788,MALICE IV,,66
10789,"SUMMERS, NATHAN CHRI",,576
10790,POLARIS/LORNA DANE,,560
10791,MR. SINISTER/NATHAN,,242
10792,N'ASTIRH,,106
10793,GATEWAY,,180
10794,"TILBY, TRISH/PATRICI",,290
10795,",""TILBY, TRISH/PATRICI",,22
10796,"CONOVER, REV. WILLIA",,13
10797,"CONOVER, HANNAH",,13
10798,",""CONOVER, HANNAH",,2
10799,",""GATEWAY",,6
10800,WOLFSBANE/RAHNE SINC,,531
10801,WARLOCK III,,278
10802,SUNSPOT/ROBERTO DACO,,510
10803,MAGIK/ILLYANA RASPUT,,262
10804,MAGNETO/MAGNUS/ERIC,,764
10805,CANNONBALL II/SAM GU,,637
10806,MIRAGE II/DANIELLE M,,389
10807,",""WARLOCK III",,14
10808,",""SUNSPOT/ROBERTO DACO",,29
10809,",""MAGIK/ILLYANA RASPUT",,17
10810,",""MAGNETO/MAGNUS/ERIC",,29
10811,",""CANNONBALL II/SAM GU",,28
10812,",""MIRAGE II/DANIELLE M",,23
10813,S'YM,,135
10814,",""WOLFSBANE/RAHNE SINC",,30
10815,",""S'YM",,8
10816,"GRIFFITH, D.W.",,88
10817,MACE,,9
10818,"CAGE, LUKE/CARL LUCA",,601
10819,",""MOREAU, DAVID",,4
10820,PIPELINE/CORMICK GRI,,107
10821,PUNCHOUT,,39
10822,HAWKSHAW,,59
10823,",""PIPELINE/CORMICK GRI",,10
10824,",""PUNCHOUT",,2
10825,MOLECULE MAN/OWEN RE,,153
10826,",""THOR/DR. DONALD BLAK",,52
10827,"JARVIS, EDWIN",,1303
10828,GHOST RIDER II/JOHNN,,267
10829,ANT-MAN/DR. HENRY J.,,1077
10830,",""JARVIS, EDWIN",,37
10831,",""TIGRA/GREER NELSON",,28
10832,"ARBOGAST, BAMBI",,184
10833,EGGHEAD/PROF. ELIHAS,,71
10834,"STARR, TRIXIE TRISH",,55
10835,"STANKOWICZ, FABIAN",,194
10836,",""EGGHEAD/PROF. ELIHAS",,9
10837,",""STARR, TRIXIE TRISH",,4
10838,",""HERCULES [GREEK GOD]",,39
10839,",""BLACK WIDOW/NATASHA",,41
10840,",""ANT-MAN/DR. HENRY J.",,44
10841,",""MOON KNIGHT/MARC SPE",,26
10842,",""JOCASTA",,14
10843,HERCULES [GREEK GOD],,983
10844,BLACK WIDOW/NATASHA,,1242
10845,MOON KNIGHT/MARC SPE,,436
10846,DRAX/ARTHUR DOUGLAS,,296
10847,"HARDY, MORGAN MACNEI",,6
10848,",""HARDY, MORGAN MACNEI",,2
10849,SPIDER-MAN CLONE/BEN,,351
10850,KAINE,,128
10851,GREGOR,,23
10852,"RAVEN, LT. JACOB",,83
10853,"TREVANE, DET. CONNOR",,62
10854,GRIM HUNTER/KRAVINOF,,24
10855,"ELLIS, KEN",,127
10856,"BYRNES, GAYLE WATSON",,37
10857,TOMBSTONE/LONNIE THO,,144
10858,",""LEEDS, BETTY BRANT",,22
10859,",""KAINE",,6
10860,SPIDERCIDE,,76
10861,JACKAL/MILES WARREN,,86
10862,JACK,,15
10863,"CAPUTO, DR. JULIA",,37
10864,GUARDIAN IV,,12
10865,",""SPIDER-MAN CLONE/BEN",,12
10866,",""RAVEN, LT. JACOB",,2
10867,",""JACK",,1
10868,",""PARKER, MAY",,20
10869,GREEN GOBLIN IV/PHIL,,77
10870,"STACY, GWEN (CLONE)",,55
10871,",""GREEN GOBLIN IV/PHIL",,1
10872,",""STACY, GWEN (CLONE)",,1
10873,",""SPIDER-MAN/PETER PAR",,48
10874,"BUCKNER, GRANT",,18
10875,STUNNER/ANGELINA BRA,,64
10876,"TRAINER, DR. SEWARD",,80
10877,",""SPIDERCIDE",,5
10878,",""BUCKNER, GRANT",,2
10879,",""ELLIS, KEN",,2
10880,",""STUNNER/ANGELINA BRA",,3
10881,",""TRAINER, DR. SEWARD",,3
10882,"TRAVELLER, DR. JUDAS",,46
10883,"TOWER, BLAKE",,137
10884,"LOCKER, MR.",,21
10885,",""WATSON, ANNA",,11
10886,",""TOWER, BLAKE",,7
10887,",""LOCKER, MR.",,2
10888,HINDSIGHT LAD/CARLTO,,85
10889,SPEEDBALL II/DARRION,,105
10890,GEE/ALEX POWER,,256
10891,TURBO II (A)/MICHIKO,,236
10892,BLACK CAT/FELICIA HA,,297
10893,D'SPAYRE,,92
10894,"PROUST, PAUL",,17
10895,",""D'SPAYRE",,6
10896,MACHETE/FERDINAND LO,,35
10897,ZARAN/MAXIMILLIAN ZA,,65
10898,SILVER SABLE,,195
10899,TRICKSHOT,,16
10900,SWORDSMAN/JACQUES DU,,152
10901,SANDMAN/WILLIAM BAKE,,374
10902,"PEREGRINE, LE/FRANCK",,134
10903,RED SKULL II/ALBERT,,28
10904,",""PEREGRINE, LE/FRANCK",,10
10905,GUDRUN [ASGARDIAN],,35
10906,VOLSTAGG,,345
10907,HOGUN [ASGARDIAN],,386
10908,FANDRAL [ASGARDIAN],,390
10909,VIZIER,,188
10910,ODIN [ASGARDIAN],,416
10911,DOMINO III/BEATRICE/,,328
10912,HYDROMAN/MORRIE BENC,,208
10913,STILT-MAN/WILBUR DAY,,126
10914,BLOCKADE/DEXTER PARI,,29
10915,"MERRYWEATHER, IRENE",,142
10916,BLAQUESMITH,,156
10917,"WORTHINGTON, KATHRYN",,30
10918,"WORTHINGTON, WARREN",,34
10919,VULTURE/ADRIAN TOOME,,183
10920,VULTURE II/BLACKIE D,,14
10921,"OSBORN, HARRY",,237
10922,"STACY, CAPT. GEORGE",,58
10923,"STACY, GWEN",,86
10924,GREEN GOBLIN/NORMAN,,344
10925,",""VULTURE II/BLACKIE D",,1
10926,",""OSBORN, HARRY",,13
10927,",""STACY, CAPT. GEORGE",,6
10928,",""JACKAL/MILES WARREN",,3
10929,",""STACY, GWEN",,6
10930,SILVERMANE/SILVIO MA,,146
10931,GREEN GOBLIN III/BAR,,18
10932,",""GRANT, GLORIA GLORY",,11
10933,",""SILVERMANE/SILVIO MA",,9
10934,"PULASKI, JOSEPHINE J",,9
10935,"SHIFFMAN, MAXIE",,21
10936,"OSBORN, LIZ ALLAN",,316
10937,"MCKEEVER, TINY",,48
10938,"IONELLO, JASON",,53
10939,GLADIATOR II,,218
10940,"RICHARDS, FRANKLIN B",,632
10941,",""GLADIATOR II",,12
10942,ARISHEM [CELESTIAL],,165
10943,ZIRAN,,149
10944,GAMMENON [CELESTIAL],,132
10945,ONE ABOVE ALL [CELES,,116
10946,WONG,,439
10947,CLEA,,238
10948,UMAR,,83
10949,",""CLEA",,14
10950,",""UMAR",,3
10951,"ALRAUNE, MARLENE",,79
10952,JESTER/JONATHAN POWE,,25
10953,DAREDEVIL/MATT MURDO,,960
10954,NEDDA,,14
10955,"LANDERS, GENA",,33
10956,"CRAWLEY, BETRAND",,38
10957,"MANOLIS, LT. NICK",,37
10958,FRENCHIE/JEAN-PAUL D,,117
10959,"BUSHMAN, RAOUL",,24
10960,"LANDERS, RICKY",,14
10961,SAMUELS,,13
10962,"LANDERS, RAY",,14
10963,"MASTERS, ALICIA REIS",,428
10964,FEAR EATER/KKALLAKKU,,18
10965,LURKING UNKNOWN,,16
10966,"WOLFE, SARA",,96
10967,DWELLER IN DARKNESS,,32
10968,SCARECROW II,,16
10969,NOX,,16
10970,RINTRAH,,146
10971,",""LURKING UNKNOWN",,1
10972,",""WOLFE, SARA",,6
10973,",""DWELLER IN DARKNESS",,3
10974,",""SCARECROW II",,1
10975,",""NIGHTMARE/EDVARD HAB",,11
10976,",""NOX",,1
10977,",""RINTRAH",,9
10978,PHOBOS,,11
10979,DEIMOS,,12
10980,"CHANG, IMEI",,72
10981,",""PHOBOS",,1
10982,TOPAZ,,59
10983,DR. DRUID/ANTHONY LU,,474
10984,BARON BLOOD II/VICTO,,38
10985,"BLESSING, MORGANA",,59
10986,PIP/PRINCE GOFERN,,227
10987,GAMORA,,224
10988,",""TOPAZ",,6
10989,",""DR. STRANGE/STEPHEN",,39
10990,",""WONG",,21
10991,FRANKENSURFER/BORGO,,5
10992,"VON FRANKENSTEIN, BA",,8
10993,DRACULA/VLAD TEPES,,142
10994,DR. DOOM/VICTOR VON,,892
10995,",""PIP/PRINCE GOFERN",,19
10996,",""DR. DOOM/VICTOR VON",,29
10997,CERBERUS,,41
10998,HELA [ASGARDIAN],,285
10999,FIRELORD/PYREUS KRIL,,205
11000,",""DRAX/ARTHUR DOUGLAS",,23
11001,",""HELA [ASGARDIAN]",,15
11002,AGAMOTTO,,40
11003,SILVER DAGGER/ISAIAH,,32
11004,",""BARON BLOOD II/VICTO",,2
11005,",""AGAMOTTO",,1
11006,"CAESAR, JULIUS",,6
11007,ZOTA,,8
11008,THANOS,,364
11009,CLEOPATRA,,8
11010,",""CAESAR, JULIUS",,1
11011,MEPHISTA,,15
11012,MEPHISTO,,387
11013,SATANNISH,,61
11014,",""BLESSING, MORGANA",,5
11015,",""CHANG, IMEI",,4
11016,"SLOAN, DR.",,53
11017,HOBGOBLIN III/LEFTY,,11
11018,HOBGOBLIN II/RODERIC,,130
11019,",""OSBORN, LIZ ALLAN",,12
11020,",""SLOAN, DR.",,2
11021,",""BLACK CAT/FELICIA HA",,15
11022,",""WATSON-PARKER, MARY",,25
11023,",""HOBGOBLIN II/RODERIC",,8
11024,",""HOBGOBLIN III/LEFTY",,1
11025,",""UATU",,29
11026,FROG-MAN II/EUGENE P,,34
11027,"LUBENSKI, NATE",,141
11028,FOREIGNER/RAFAEL BAS,,125
11029,"BANNON, LANCE",,136
11030,",""BANNON, LANCE",,4
11031,",""MUGGINS, MAMIE",,3
11032,",""THINKER",,19
11033,"MUGGINS, MAMIE",,105
11034,THINKER,,209
11035,"HOCHBERG, ROGER",,50
11036,LIZARD/DR. CURTIS CO,,161
11037,",""HOCHBERG, ROGER",,2
11038,",""LIZARD/DR. CURTIS CO",,9
11039,"KINGSLEY, DANIEL",,48
11040,"JAMESON, MARLA MADIS",,250
11041,",""KINGPIN/WILSON FISK",,20
11042,"COUNT NEFARIA, LUCHI",,140
11043,PLANTMAN/SAM SMITHER,,162
11044,SCARECROW/EBENEZER L,,90
11045,ZELDA,,36
11046,EEL/LEOPOLD STRYKE,,89
11047,"CANTOR, VERA",,121
11048,PORCUPINE/ALEX GENTR,,137
11049,UNICORN/MYLOS MASARY,,79
11050,",""PLANTMAN/SAM SMITHER",,14
11051,",""SCARECROW/EBENEZER L",,8
11052,",""ZELDA",,3
11053,",""HENDERSHOOT, COLONEL",,3
11054,",""PORCUPINE/ALEX GENTR",,13
11055,",""COUNT NEFARIA, LUCHI",,14
11056,",""FREDERICKS, GENERAL",,7
11057,",""PENANCE/MONET ST. CR",,6
11058,",""EEL/LEOPOLD STRYKE",,4
11059,",""UNICORN/MYLOS MASARY",,11
11060,"HENDERSHOOT, COLONEL",,20
11061,"FREDERICKS, GENERAL",,43
11062,PENANCE/MONET ST. CR,,161
11063,SUPREME ONE,,9
11064,LUCIFER,,25
11065,UNUS THE UNTOUCHABLE,,96
11066,",""SUPREME ONE",,2
11067,",""BLOB/FRED J. DUKES",,23
11068,",""LUCIFER",,3
11069,",""UNUS THE UNTOUCHABLE",,9
11070,DOMINUS,,7
11071,",""DOMINUS",,1
11072,MIMIC/CALVIN RANKIN,,110
11073,KUKULCAN/VIRAKO/QUET,,41
11074,TOLOC,,11
11075,RAMON,,11
11076,EL TIGRE,,15
11077,",""MIMIC/CALVIN RANKIN",,7
11078,",""KUKULCAN/VIRAKO/QUET",,2
11079,",""TOLOC",,2
11080,",""RAMON",,2
11081,",""EL TIGRE",,2
11082,PUPPET MASTER/PHILLI,,218
11083,",""PUPPET MASTER/PHILLI",,17
11084,LOCUST,,10
11085,",""LOCUST",,3
11086,",""BANSHEE/SEAN CASSIDY",,20
11087,",""OGRE",,4
11088,BANSHEE/SEAN CASSIDY,,497
11089,OGRE,,78
11090,SUPER-ADAPTOID/ALESS,,103
11091,LIVING MUMMY,,116
11092,HUMAN TORCH ANDROID/,,337
11093,BUCKY/BUCKY BARNES,,124
11094,"DEAN, BETTY",,9
11095,U-MAN/MERRANO,,68
11096,"CHURCHILL, SIR WINST",,30
11097,TORO/TOM RAYMOND,,112
11098,SPITFIRE/LADY JACQUE,,103
11099,WHIZZER/ROBERT L. FR,,188
11100,RED SKULL/JOHANN SCH,,251
11101,BARON STRUCKER/WOLFG,,196
11102,"PRENTISS, BETTY DEAN",,34
11103,"HORTON, PROFESSOR PH",,52
11104,"FITZPATRICK, WILL",,13
11105,UNION JACK II/BRIAN,,69
11106,",""TORO/TOM RAYMOND",,9
11107,",""WHIZZER/ROBERT L. FR",,23
11108,",""SUB-MARINER/NAMOR MA",,39
11109,",""RED SKULL/JOHANN SCH",,20
11110,",""BARON STRUCKER/WOLFG",,14
11111,",""PRENTISS, BETTY DEAN",,3
11112,",""HUMAN TORCH ANDROID/",,22
11113,",""HORTON, PROFESSOR PH",,6
11114,",""FITZPATRICK, WILL",,1
11115,JACK FROST/,,35
11116,MISS AMERICA/MADELIN,,57
11117,THIN MAN/BRUCE DICKS,,30
11118,RED RAVEN,,44
11119,"KRIEGHUND, COL.",,16
11120,PATRIOT/JEFF MACE,,24
11121,BLUE DIAMOND/PROFESS,,33
11122,UNION JACK/LORD MONT,,43
11123,BARON BLOOD/JOHN FAL,,56
11124,ZAWADI,,20
11125,BLOODSTONE/ULYSSES B,,43
11126,GORGILLA,,31
11127,GROTTU,,6
11128,MOLE MAN/HARVEY RUPE,,291
11129,MAKKARI/MIKE KHARY/I,,293
11130,"ZINOVIEV, IVAN",,8
11131,KRO [DEVIANT],,143
11132,VALKIN,,81
11133,GIGANTUS,,16
11134,"GEORGE, DAVID LLOYD",,8
11135,"DELGADO, FATHER",,49
11136,CLOAK/TYRONE JOHNSON,,269
11137,MAYHEM/DET. BRIGID O,,53
11138,DAGGER/TANDY BOWEN,,248
11139,HEATER DELIGHT,,6
11140,STARFOX/EROS,,453
11141,",""RADIOACTIVE MAN/DR.",,11
11142,",""MANDARIN",,19
11143,MANDARIN,,213
11144,RADIOACTIVE MAN/DR.,,159
11145,",""TAURUS/CORNELIUS VAN",,5
11146,",""ERWIN, MORLEY",,6
11147,"ERWIN, MORLEY",,71
11148,TAURUS/CORNELIUS VAN,,48
11149,SIF,,376
11150,VOLLA,,41
11151,"CASE, COL. PRESTON",,38
11152,PERRIKUS,,43
11153,"BRADLEY, HANK",,14
11154,"COLLINS, DEMITRIUS",,64
11155,"KINCAID, DR. JANE FO",,260
11156,DESTROYER III,,128
11157,"FAIRMONT, AMANDA MAN",,48
11158,",""VOLLA",,3
11159,",""CASE, COL. PRESTON",,2
11160,",""PERRIKUS",,2
11161,",""BRADLEY, HANK",,2
11162,",""COLLINS, DEMITRIUS",,4
11163,",""KINCAID, DR. JANE FO",,10
11164,",""DESTROYER III",,4
11165,"FURY, COL. NICHOLAS",,1262
11166,",""AQUARIUS II/",,2
11167,AQUARIUS II/,,21
11168,LEO/DANIEL RADFORD,,37
11169,VIRGO/ELAINE MCLAUGH,,41
11170,ARIES II/GROVER RAYM,,65
