Id,Label,timeset,Degree,clustering,triangles,pageranks,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Authority,Hub,componentnumber
10553,WONDER MAN/SIMON WIL,,624,0.217182,42215,0.00408,0.829388,6,2,0.726087,0.811377,7379.206489,3433,0.092927,0.092927,0
10554,DEATHLOK III/MICHAEL,,117,0.560713,3805,0.000851,0.225042,0,2,0.531002,0.558383,91.056316,176,0.025296,0.025296,0
10555,OBLIVION,,62,0.755685,1429,0.000526,0.126893,4,2,0.515963,0.530938,13.841976,76,0.01426,0.01426,0
10556,WOLVERINE/LOGAN,,547,0.212722,31766,0.003601,0.718479,7,2,0.687714,0.772954,5472.103069,3746,0.08018,0.08018,0
10557,SHE-HULK/JENNIFER WA,,680,0.198432,45810,0.004454,0.876428,6,2,0.756798,0.839321,8781.661423,3220,0.098032,0.098032,0
10558,VISION,,521,0.224347,30390,0.0034,0.712006,6,2,0.675657,0.75998,4124.075195,3200,0.079892,0.079892,0
10559,PSYLOCKE/ELISABETH B,,488,0.241812,28734,0.003268,0.642656,7,2,0.66095,0.743513,4328.703432,2346,0.07156,0.07156,0
10560,MARVEL GIRL/JEAN GRE,,563,0.224395,35500,0.003723,0.738584,7,2,0.69535,0.780938,5734.294031,3653,0.082304,0.082303,0
10561,STORM/ORORO MUNROE S,,656,0.205041,44051,0.004311,0.845233,7,2,0.743323,0.827345,8464.060039,4660,0.094348,0.094348,0
10562,ETERNITY/ADAM QADMON,,271,0.40574,14844,0.001813,0.447645,4,2,0.578188,0.63523,739.624493,591,0.050386,0.050386,0
10563,KISMET/J'RIDIA STARD,,129,0.573038,4731,0.000925,0.258901,6,2,0.5344,0.564371,104.446475,257,0.029185,0.029185,0
10564,IN-BETWEENER,,70,0.689441,1665,0.000562,0.150257,4,2,0.518097,0.53493,16.9621,102,0.016939,0.016939,0
10565,MR. FANTASTIC/REED R,,717,0.191674,49200,0.004692,0.909449,1,2,0.778555,0.857784,10285.566824,4920,0.101582,0.101582,0
10566,ANGEL/WARREN KENNETH,,659,0.206064,44677,0.004318,0.853388,7,2,0.744981,0.828842,8590.45404,3602,0.095281,0.09528,0
10567,DEATH,,245,0.452359,13521,0.001615,0.446193,4,2,0.569642,0.622255,477.981058,470,0.050297,0.050297,0
10568,MASTER ORDER,,100,0.685253,3392,0.00074,0.215524,4,2,0.526261,0.5499,32.711552,189,0.024288,0.024288,0
10569,JUBILEE/JUBILATION L,,257,0.353538,11630,0.001762,0.380101,7,2,0.573555,0.628244,801.112404,1258,0.042231,0.042231,0
10570,THING/BENJAMIN J. GR,,719,0.19093,49283,0.004702,0.913444,1,2,0.779767,0.858782,9608.577653,5377,0.102125,0.102125,0
10571,INVISIBLE WOMAN/SUE,,507,0.231611,29709,0.003309,0.70052,1,2,0.669339,0.752994,3953.802806,3623,0.078574,0.078574,0
10572,INFINITY II,,109,0.605335,3563,0.000823,0.210048,4,2,0.52876,0.554391,89.544083,139,0.023625,0.023625,0
10573,PUNISHER II/FRANK CA,,219,0.353232,8432,0.001518,0.347364,0,2,0.561345,0.609281,891.0886,604,0.038684,0.038684,0
10574,ANDROMEDA/ANDROMEDA,,55,0.700337,1040,0.000471,0.131319,2,3,0.513846,0.527279,10.058293,108,0.014811,0.014811,0
10575,BEAST/HENRY &HANK& P,,702,0.194346,47819,0.004596,0.892541,7,2,0.769585,0.850299,10902.472986,4744,0.099633,0.099633,0
10576,GHOST RIDER III/DAN,,84,0.467011,1628,0.000663,0.148493,0,2,0.521875,0.541916,70.109325,156,0.016618,0.016618,0
10577,CYCLOPS/SCOTT SUMMER,,667,0.207504,46089,0.004354,0.868412,7,2,0.749439,0.832834,8144.7565,4782,0.097007,0.097007,0
10611,"CABE, BETHANY",,54,0.627533,898,0.000476,0.105842,6,3,0.510183,0.524617,15.682939,157,0.011908,0.011908,0
10613,"HOGAN, VIRGINIA PEPP",,119,0.512747,3600,0.000869,0.222217,6,2,0.531565,0.559381,103.561003,350,0.024958,0.024958,0
10614,"HOGAN, HAROLD J. HAP",,110,0.549625,3295,0.000808,0.215586,6,2,0.529039,0.55489,75.785203,341,0.024232,0.024232,0
10616,BATROC/GEORGES BATRO,,107,0.448774,2545,0.000805,0.166475,6,2,0.528202,0.553393,95.430648,179,0.01861,0.01861,0
10617,"CARTER, SHARON",,135,0.484577,4383,0.000965,0.246923,6,2,0.536116,0.567365,149.384387,423,0.027655,0.027655,0
10619,KARNILLA [ASGARDIAN],,131,0.489724,4170,0.000958,0.224183,3,2,0.534971,0.565369,159.341758,548,0.025059,0.025059,0
10620,HEIMDALL [ASGARDIAN],,147,0.466592,5007,0.00106,0.24425,3,2,0.53958,0.573353,202.084907,783,0.027375,0.027375,0
10621,ENCHANTRESS/AMORA/HE,,226,0.426824,10852,0.001523,0.3849,3,2,0.563555,0.612774,476.506149,945,0.043165,0.043165,0
10622,LOKI [ASGARDIAN],,297,0.339726,14933,0.001988,0.466056,3,2,0.586995,0.648204,1299.54119,1319,0.052134,0.052134,0
10623,NIGHTMARE/EDVARD HAB,,86,0.490561,1793,0.000666,0.161223,2,3,0.520519,0.54175,55.007731,166,0.018111,0.018111,0
10625,THOR/DR. DONALD BLAK,,675,0.200286,45560,0.004435,0.858529,3,2,0.75395,0.836826,10146.523827,5606,0.095716,0.095716,0
10628,SPIDER-WOMAN II/JULI,,267,0.399116,14173,0.001778,0.448221,6,2,0.576857,0.633234,741.054867,928,0.050393,0.050393,0
10632,"COOPER, DR. VALERIE",,359,0.305551,19635,0.002394,0.525655,7,2,0.609119,0.679142,2235.016918,981,0.058526,0.058526,0
10637,RED GUARDIAN III/DR.,,130,0.49684,4166,0.000946,0.229752,2,2,0.534685,0.56487,158.234097,267,0.025845,0.025845,0
10638,DR. STRANGE/STEPHEN,,413,0.266309,22657,0.002706,0.599137,2,2,0.629793,0.706088,2600.188736,1842,0.067303,0.067303,0
10640,HELLCAT/PATSY WALKER,,271,0.451114,16504,0.001773,0.475317,2,2,0.578188,0.63523,538.4806,929,0.053723,0.053723,0
10641,NIGHTHAWK II/KYLE RI,,178,0.4761,7500,0.001237,0.319028,2,2,0.54874,0.588822,263.076383,672,0.035922,0.035922,0
10642,DEVIL-SLAYER/ERIC SI,,135,0.789165,7138,0.000926,0.2947,2,2,0.536116,0.567365,34.684125,238,0.033522,0.033522,0
10643,"NORRISS, SISTER BARB",,281,0.415074,16329,0.001848,0.477151,2,2,0.581544,0.64022,732.73137,1172,0.053848,0.053848,0
10644,"BANNER, BETTY ROSS T",,194,0.520271,9740,0.001295,0.376585,2,2,0.553591,0.596806,222.930073,853,0.042542,0.042542,0
10645,"ROSS, GEN. THADDEUS",,119,0.569292,3997,0.000853,0.241296,2,2,0.531565,0.559381,75.245063,554,0.027243,0.027243,0
10647,MASTERMIND/JASON WYN,,108,0.491346,2839,0.000808,0.193086,7,2,0.528481,0.553892,100.920735,285,0.021497,0.021497,0
10654,GORGON [INHUMAN],,293,0.409206,17505,0.001914,0.498825,1,2,0.585622,0.646208,718.131829,1069,0.056375,0.056375,0
10655,LOCKJAW [INHUMAN],,254,0.459992,14780,0.001665,0.458787,1,2,0.572571,0.626747,469.856727,812,0.051882,0.051882,0
10656,CRYSTAL [INHUMAN],,445,0.291538,28801,0.002888,0.665285,1,2,0.64272,0.722056,2601.297486,2068,0.074918,0.074918,0
10657,BLACK BOLT/BLACKANTO,,292,0.410347,17434,0.001907,0.498021,1,2,0.58528,0.645709,713.319335,1058,0.056278,0.056278,0
10658,TRITON,,288,0.403286,16667,0.00189,0.484652,1,2,0.583916,0.643713,753.511522,946,0.054761,0.054761,0
10659,KARNAK [INHUMAN],,282,0.414073,16406,0.001848,0.481555,1,2,0.581882,0.640719,665.833266,992,0.054433,0.054433,0
10664,WARLOCK II/ADAM WARL,,241,0.469813,13587,0.001612,0.41373,4,2,0.568349,0.620259,415.205453,822,0.046721,0.046721,0
10665,ANALYZER,,92,0.448161,1876,0.000722,0.146563,3,3,0.523238,0.545409,102.604658,195,0.016439,0.016439,0
10666,MAN-BEAST,,71,0.558954,1389,0.000584,0.127831,7,3,0.517562,0.53493,46.632355,210,0.014371,0.014371,0
10667,ABOMINATION/EMIL BLO,,124,0.563598,4298,0.000887,0.249782,2,2,0.532979,0.561876,93.285908,203,0.028063,0.028063,0
10668,RHINO,,207,0.411754,8779,0.001413,0.349387,0,2,0.557596,0.603293,425.275803,362,0.039042,0.039042,0
10677,"CORBEAU, DR. PETER",,146,0.494001,5229,0.001042,0.266926,7,2,0.53929,0.572854,184.613592,268,0.029882,0.029882,0
10678,JUGGERNAUT/CAIN MARK,,205,0.404926,8467,0.001412,0.335974,7,2,0.556976,0.602295,481.30921,449,0.037363,0.037363,0
10679,PROFESSOR X/CHARLES,,482,0.237722,27557,0.003157,0.664691,7,2,0.658344,0.740519,3600.047372,2910,0.074353,0.074352,0
10684,VENOM/EDDIE BROCK,,83,0.526888,1793,0.000675,0.127711,0,2,0.521603,0.541417,75.237168,223,0.014149,0.014149,0
10685,"PARKER, MAY",,200,0.396432,7889,0.001405,0.30846,0,2,0.555432,0.5998,463.352557,1477,0.034299,0.034299,0
10687,"STACY, JILL",,56,0.633766,976,0.000492,0.10178,0,2,0.514374,0.527944,14.91243,229,0.011286,0.011286,0
10689,"ROBERTSON, JOE",,279,0.344653,13366,0.001891,0.430801,0,2,0.58087,0.639222,1067.301491,1614,0.047987,0.047987,0
10692,"LEEDS, BETTY BRANT",,166,0.42008,5753,0.001202,0.254067,0,2,0.545158,0.582834,313.447077,1148,0.028155,0.028155,0
10693,KINGPIN/WILSON FISK,,220,0.337775,8137,0.00154,0.311675,0,2,0.561659,0.60978,725.263337,834,0.034563,0.034563,0
10698,"WATSON-PARKER, MARY",,211,0.347687,7703,0.001479,0.305254,0,2,0.55884,0.605289,625.301973,1804,0.033924,0.033924,0
10699,"WATSON, ANNA",,107,0.504673,2862,0.000834,0.151546,0,3,0.525984,0.552063,110.956945,564,0.016767,0.016767,0
10701,MACHINE MAN/X-51,,210,0.555799,12197,0.001382,0.408387,6,2,0.558528,0.60479,238.631638,434,0.046222,0.046222,0
10702,JOCASTA,,161,0.638121,8219,0.001086,0.330303,6,2,0.543679,0.580339,106.3087,439,0.037435,0.037435,0
10704,ULTRON,,129,0.572917,4730,0.000913,0.265777,6,2,0.5344,0.564371,89.322181,533,0.029968,0.029968,0
10706,"JAMESON, J. JONAH",,392,0.302795,23205,0.002586,0.585623,0,2,0.621588,0.695609,2389.467492,2407,0.065439,0.065439,0
10708,"URICH, BEN",,158,0.406676,5044,0.001155,0.231148,0,2,0.542795,0.578842,299.84208,686,0.025591,0.025591,0
10711,ICEMAN/ROBERT BOBBY,,450,0.24292,24541,0.002967,0.620814,7,2,0.644788,0.724551,3353.784102,2516,0.069386,0.069386,0
10712,"THOMPSON, EUGENE FLA",,144,0.455128,4686,0.001068,0.218612,0,2,0.53871,0.571856,215.149374,1066,0.024185,0.024185,0
10722,"GRANT, GLORIA GLORY",,112,0.455116,2829,0.000877,0.142764,0,2,0.529598,0.555888,166.497326,543,0.015689,0.015689,0
10727,GARGOYLE II/ISAAC CH,,211,0.531934,11785,0.001407,0.389817,2,2,0.55884,0.605289,297.396308,618,0.044146,0.044146,0
10736,"SOUTHERN, CANDY",,121,0.460606,3344,0.000904,0.200125,7,2,0.53213,0.560379,170.94232,295,0.022252,0.022252,0
10738,MOONDRAGON/HEATHER D,,419,0.309931,27141,0.002733,0.630877,6,2,0.632177,0.709082,2170.657618,1590,0.071159,0.071159,0
10747,HUMAN TORCH/JOHNNY S,,706,0.192217,47836,0.004625,0.897942,1,2,0.771957,0.852295,9407.867955,5149,0.100403,0.100403,0
10748,BEYONDER,,191,0.434831,7890,0.001307,0.330906,7,2,0.552675,0.595309,379.623878,390,0.037,0.037,0
10749,DR. OCTOPUS/OTTO OCT,,144,0.500777,5156,0.001037,0.248465,0,2,0.53871,0.571856,177.591668,625,0.027658,0.027658,0
10752,MISTER HYDE/CALVIN Z,,160,0.42445,5399,0.001136,0.257938,6,2,0.543384,0.57984,277.691349,288,0.028862,0.028862,0
10753,COACHWHIP,,58,0.712039,1177,0.000514,0.094186,6,3,0.51332,0.527944,12.003865,136,0.010484,0.010484,0
10754,COBRA/KLAUS VORHEES,,183,0.382093,6363,0.001308,0.275932,6,2,0.550247,0.591317,521.507329,393,0.030733,0.030733,0
10755,ASP II/CLEO,,95,0.429339,1917,0.00076,0.123136,6,2,0.524882,0.547405,108.286492,269,0.013634,0.013634,0
10756,BUSHMASTER II/QUINCY,,63,0.615975,1203,0.000553,0.087875,6,3,0.515432,0.530938,21.276654,159,0.009726,0.009726,0
10757,FER DE LANCE/TERESA,,57,0.734336,1172,0.000507,0.095131,6,3,0.513583,0.527778,9.0802,153,0.010586,0.010586,0
10758,BLACK MAMBA/TANYA SE,,111,0.440622,2690,0.000855,0.159432,6,2,0.529319,0.555389,126.247365,282,0.017706,0.017706,0
10759,BLACK RACER/,,60,0.59548,1054,0.000534,0.086311,6,3,0.511747,0.527611,38.540127,131,0.009569,0.009569,0
10760,ROCK PYTHON,,63,0.698413,1364,0.000545,0.105495,6,3,0.515963,0.531271,14.319039,156,0.011747,0.011747,0
10761,ANACONDA/BLANCHE SIT,,111,0.450942,2753,0.00086,0.160951,6,2,0.529319,0.555389,130.654667,297,0.017871,0.017871,0
10762,PUFF ADDER,,60,0.712994,1262,0.000528,0.098678,6,3,0.515167,0.529774,12.502699,175,0.010978,0.010978,0
10763,BOOMSLANG/,,67,0.639077,1413,0.000576,0.10441,6,3,0.514902,0.531936,24.658748,161,0.0116,0.0116,0
10764,RATTLER,,77,0.552632,1617,0.000643,0.110126,6,3,0.519171,0.537924,42.960942,199,0.012209,0.012209,0
10765,COPPERHEAD III/DAVIS,,56,0.645455,994,0.000509,0.080716,6,3,0.512532,0.52678,17.126667,128,0.008925,0.008925,0
10767,"RANSOME, JENNIFER AM",,86,0.621341,2271,0.000679,0.162588,7,3,0.522147,0.542748,44.802921,162,0.018032,0.018032,0
10768,"MOREAU, PHILLIP",,77,0.649009,1899,0.000625,0.139331,7,3,0.518902,0.537758,29.707675,149,0.015429,0.015428,0
10769,HAVOK/ALEX SUMMERS,,383,0.26193,19161,0.002556,0.537153,7,2,0.618137,0.691118,2498.574646,1672,0.060027,0.060027,0
10771,DAZZLER II/ALLISON B,,305,0.367299,17028,0.002021,0.492633,7,2,0.589759,0.652196,1292.24664,917,0.055193,0.055193,0
10772,LONGSHOT,,179,0.417425,6650,0.001274,0.289129,7,2,0.549041,0.589321,400.913372,567,0.03212,0.03212,0
10773,"SUMMERS, MADELYNE MA",,186,0.440628,7581,0.00132,0.274091,7,2,0.551155,0.592814,307.928674,587,0.030324,0.030324,0
10774,COLOSSUS II/PETER RA,,680,0.196842,45443,0.004483,0.861398,7,2,0.756798,0.839321,9562.593574,4228,0.096106,0.096106,0
10788,MALICE IV,,58,0.725953,1200,0.000517,0.092549,7,3,0.496777,0.517132,13.268546,142,0.010195,0.010195,0
10789,"SUMMERS, NATHAN CHRI",,317,0.330891,16573,0.002139,0.469682,7,2,0.593954,0.658184,1370.666794,1585,0.052187,0.052187,0
10790,POLARIS/LORNA DANE,,399,0.290399,23058,0.002654,0.56936,7,2,0.624299,0.699102,2434.52932,1753,0.063531,0.06353,0
10791,MR. SINISTER/NATHAN,,68,0.626866,1428,0.000576,0.1122,7,3,0.516229,0.5331,25.786644,170,0.012382,0.012381,0
10792,N'ASTIRH,,94,0.572638,2503,0.000728,0.169712,7,3,0.524333,0.54674,108.411936,193,0.018797,0.018797,0
10793,GATEWAY,,134,0.420155,3744,0.001013,0.183244,7,2,0.535829,0.566866,273.995666,332,0.020162,0.020162,0
10794,"TILBY, TRISH/PATRICI",,203,0.416476,8539,0.001416,0.322146,7,2,0.556358,0.601297,475.997101,526,0.03574,0.035739,0
10800,WOLFSBANE/RAHNE SINC,,388,0.311702,23402,0.002566,0.573949,7,2,0.62005,0.693613,2019.164917,1989,0.064072,0.064072,0
10801,WARLOCK III,,231,0.420327,11166,0.001566,0.378686,7,2,0.565144,0.615269,485.909826,956,0.042177,0.042177,0
10802,SUNSPOT/ROBERTO DACO,,330,0.306328,16629,0.002246,0.452855,7,2,0.598566,0.664671,2109.26969,1632,0.05001,0.05001,0
10803,MAGIK/ILLYANA RASPUT,,211,0.448025,9926,0.001444,0.350559,7,2,0.55884,0.605289,368.195797,979,0.039037,0.039037,0
10804,MAGNETO/MAGNUS/ERIC,,284,0.307396,12353,0.001932,0.411185,7,2,0.582558,0.641717,1321.056182,1257,0.045708,0.045708,0
10805,CANNONBALL II/SAM GU,,383,0.287384,21023,0.00258,0.52761,7,2,0.618137,0.691118,2898.647861,2340,0.058404,0.058403,0
10806,MIRAGE II/DANIELLE M,,238,0.401801,11332,0.001628,0.367926,7,2,0.567384,0.618762,551.449929,1248,0.040823,0.040823,0
10813,S'YM,,109,0.591743,3483,0.000812,0.188245,7,3,0.528481,0.554225,64.436295,253,0.020883,0.020883,0
10816,"GRIFFITH, D.W.",,61,0.544809,997,0.000529,0.111832,6,3,0.510443,0.527112,40.128779,72,0.012485,0.012485,0
10818,"CAGE, LUKE/CARL LUCA",,387,0.316558,23644,0.002535,0.59453,6,2,0.619666,0.693114,2051.072445,1040,0.066737,0.066737,0
10820,PIPELINE/CORMICK GRI,,81,0.621914,2015,0.00065,0.150527,7,3,0.52079,0.540253,41.621986,161,0.016669,0.016669,0
10825,MOLECULE MAN/OWEN RE,,142,0.525022,5256,0.000998,0.267655,3,2,0.538131,0.570858,132.301511,409,0.030025,0.030025,0
10827,"JARVIS, EDWIN",,365,0.269983,17935,0.002423,0.523508,6,2,0.611348,0.682136,2013.534694,1524,0.058593,0.058593,0
10828,GHOST RIDER II/JOHNN,,146,0.493623,5225,0.001031,0.278779,2,2,0.53929,0.572854,176.414485,349,0.031366,0.031366,0
10829,ANT-MAN/DR. HENRY J.,,594,0.216823,38187,0.00389,0.786469,6,2,0.710638,0.796407,6137.423234,3770,0.088009,0.088009,0
10832,"ARBOGAST, BAMBI",,109,0.503568,2964,0.000813,0.204419,6,2,0.52876,0.554391,103.342748,263,0.022906,0.022907,0
10833,EGGHEAD/PROF. ELIHAS,,61,0.661202,1210,0.000508,0.137415,6,2,0.515697,0.530439,12.734891,116,0.015469,0.015469,0
10835,"STANKOWICZ, FABIAN",,144,0.526612,5422,0.001031,0.270637,6,2,0.53871,0.571856,148.748871,322,0.030358,0.030358,0
10843,HERCULES [GREEK GOD],,626,0.217758,42599,0.00408,0.834662,6,2,0.727141,0.812375,6869.382987,2968,0.09356,0.09356,0
10844,BLACK WIDOW/NATASHA,,390,0.283119,21476,0.002546,0.585779,6,2,0.620818,0.694611,2008.981067,1513,0.065854,0.065854,0
10845,MOON KNIGHT/MARC SPE,,296,0.420156,18344,0.001933,0.510779,6,2,0.586651,0.647705,888.547953,787,0.057736,0.057736,0
10846,DRAX/ARTHUR DOUGLAS,,247,0.467694,14209,0.00165,0.426526,4,2,0.57029,0.623253,447.275499,896,0.04819,0.04819,0
10849,SPIDER-MAN CLONE/BEN,,138,0.464403,4390,0.001004,0.232829,0,2,0.536977,0.568862,194.186244,456,0.025969,0.025969,0
10850,KAINE,,52,0.512066,679,0.000478,0.064888,0,3,0.494327,0.513473,23.885074,134,0.007139,0.007139,0
10857,TOMBSTONE/LONNIE THO,,62,0.573242,1084,0.000555,0.072024,0,3,0.507085,0.525283,42.809367,197,0.00787,0.00787,0
10883,"TOWER, BLAKE",,81,0.530247,1718,0.000657,0.139603,0,3,0.518097,0.538589,65.716681,150,0.015532,0.015533,0
10890,GEE/ALEX POWER,,158,0.414013,5135,0.001121,0.259327,1,2,0.542795,0.578842,288.016242,550,0.028965,0.028965,0
10891,TURBO II (A)/MICHIKO,,135,0.458596,4148,0.001004,0.204083,4,2,0.536116,0.567365,264.412106,305,0.022586,0.022586,0
10892,BLACK CAT/FELICIA HA,,199,0.460027,9063,0.001382,0.336923,0,2,0.555125,0.599301,498.234137,564,0.037668,0.037668,0
10893,D'SPAYRE,,57,0.494987,790,0.000496,0.102159,2,3,0.513846,0.527944,27.82297,81,0.011399,0.011399,0
10898,SILVER SABLE,,124,0.432337,3297,0.000928,0.192333,0,3,0.531847,0.561211,200.12532,219,0.021406,0.021406,0
10900,SWORDSMAN/JACQUES DU,,119,0.646489,4539,0.000851,0.254758,6,2,0.531565,0.559381,56.946764,385,0.028797,0.028797,0
10901,SANDMAN/WILLIAM BAKE,,244,0.385954,11442,0.001658,0.397934,0,2,0.569318,0.621756,742.903449,738,0.044513,0.044513,0
10902,"PEREGRINE, LE/FRANCK",,128,0.819267,6659,0.000883,0.286551,6,2,0.534115,0.563872,24.600978,164,0.032578,0.032578,0
10906,VOLSTAGG,,190,0.402005,7218,0.001328,0.300593,3,2,0.55237,0.59481,428.3712,1269,0.033602,0.033602,0
10907,HOGUN [ASGARDIAN],,229,0.418563,10927,0.00155,0.386462,3,2,0.564507,0.614271,552.414044,1316,0.043438,0.043438,0
10908,FANDRAL [ASGARDIAN],,232,0.418271,11208,0.001567,0.39254,3,2,0.565463,0.615768,563.70611,1326,0.044124,0.044124,0
10909,VIZIER,,107,0.570446,3235,0.000805,0.190427,3,2,0.528202,0.553393,70.03365,554,0.021319,0.021319,0
10910,ODIN [ASGARDIAN],,238,0.433677,12231,0.001591,0.4119,3,2,0.567384,0.618762,489.554407,1468,0.046388,0.046388,0
10911,DOMINO III/BEATRICE/,,176,0.38513,5931,0.001288,0.231257,7,2,0.54814,0.587824,608.15282,509,0.025328,0.025328,0
10912,HYDROMAN/MORRIE BENC,,148,0.404118,4396,0.001082,0.219804,0,2,0.539871,0.573852,295.879329,298,0.024371,0.024371,0
10913,STILT-MAN/WILBUR DAY,,94,0.474033,2072,0.000731,0.160835,0,2,0.524607,0.546906,93.96977,130,0.017955,0.017955,0
10915,"MERRYWEATHER, IRENE",,63,0.544803,1064,0.000538,0.112254,7,2,0.516229,0.531437,33.761727,148,0.012457,0.012457,0
10916,BLAQUESMITH,,92,0.558528,2338,0.000729,0.144729,7,2,0.524059,0.545908,67.804293,207,0.015966,0.015966,0
